station	lon     	lat     	v_vert	v_std
ARLI	-122.141860	48.174067	-1.696	0.486
ARLN	-120.183270	45.708206	-0.820	0.237
ARM3	-92.373146	36.369242	-1.134	0.371
ARM4	2.766038	43.241932	-0.171	0.449
ARNA	0.180900	47.946522	-0.144	0.361
ARNG	-112.622612	43.667019	2.083	0.227
ARNP	-76.356513	45.435258	1.797	0.466
ARNR	13.988221	48.514651	1.486	0.350
ARPG	-90.518793	36.059114	-0.272	0.155
ARPK	38.487321	39.040594	1.063	0.586
ARTU	58.560457	56.429822	0.493	0.129
ARUN	153.374032	-27.940585	-1.150	1.191
ARVE	-1.107620	45.743684	-0.783	0.186
ASAP	-3.480108	53.251347	0.160	0.359
ASCC	13.592989	42.857340	0.299	0.330
ASCS	-77.796999	42.255299	-0.525	0.387
ASMA	38.910283	15.339665	0.420	0.809
ATBU	12.547807	43.476021	0.314	0.306
ATFO	12.567118	43.370056	0.237	0.736
ATJN	-70.136752	-19.300816	2.711	1.141
ATLO	12.407145	43.315134	0.348	0.287
AUBN	-85.054415	41.365979	-0.656	0.128
AUCK	174.834386	-36.602843	-0.164	0.317
AUDE	7.001834	50.176534	3.377	0.332
AUDR	24.313680	58.422469	2.247	0.264
AUKT	174.770420	-36.843754	-1.348	0.583
AUMO	3.283647	44.721794	-0.015	0.187
AUNI	-0.948634	46.103925	-0.703	0.297
AURI	4.948884	43.706561	-0.341	0.196
AUTF	-68.303567	-54.839525	0.569	0.355
AUTN	4.288974	46.953841	-0.723	0.344
AVCA	-82.687744	43.060914	-1.082	0.279
AVLN	174.932858	-41.196439	-0.508	0.769
AVRY	-117.153969	34.468301	2.234	0.348
AWES	-90.982962	30.100273	-1.807	0.403
AXIS	-120.284973	47.404368	-0.154	0.352
AYVL	26.686178	39.311443	-0.540	0.501
AZGB	-110.771454	33.395359	1.404	0.296
AZGI	-111.726717	33.312881	1.168	0.232
AZGV	-114.254267	35.254374	0.230	0.322
AZLH	-114.347134	34.508327	0.360	0.327
AZPA	-112.277919	33.692742	1.275	0.364
AZPG	-111.462690	36.908669	0.380	0.197
AZPS	-112.460734	34.608565	0.165	0.216
AZRY	-116.629695	33.540071	1.207	0.311
AZTO	-112.873651	33.491638	2.927	0.249
AZU1	-117.896483	34.126017	1.326	0.287
AZUL	-59.881280	-36.767022	0.536	0.643
AZVA	-110.770299	31.954078	0.973	0.476
AZWA	-112.662248	33.859315	0.486	0.298
AZYU	-114.527108	32.658350	0.422	0.466
BACA	26.912215	46.562061	0.287	0.147
BADG	102.234984	51.769705	0.645	0.387
BADH	8.609854	50.227977	0.021	0.446
BADJ	-6.989254	38.893693	-1.083	0.319
BAI1	-8.034039	41.164271	-0.472	0.228
BAIA	23.557716	47.651788	0.687	0.155
BAIE	-68.263328	49.186826	3.757	0.119
BAIR	-41.858520	-11.305646	1.364	0.297
BAK1	-119.020802	35.351893	0.335	0.312
BAKE	-96.002345	64.317820	12.204	0.553
BAKO	106.848911	-6.491055	1.098	1.025
BAKU	49.814413	40.372171	2.891	0.175
BALV	27.265214	57.128321	1.409	1.812
BAMO	-117.204566	40.412750	1.065	0.126
BAN1	-7.971544	42.033125	-0.307	0.604
BAR2	-71.098228	18.208699	-1.665	0.666
BAR8	-6.984412	42.415577	-0.550	0.297
BARC	12.563621	46.193100	0.653	0.424
BARH	-68.221690	44.395048	1.277	0.316
BARR	-79.686739	44.327332	-1.136	0.346
BARY	0.671927	43.035704	-0.092	0.262
BATH	-65.693178	47.649054	0.224	0.335
BAUB	3.966965	43.876901	-0.473	0.413
BAUS	24.186148	56.405895	0.928	0.433
BAVC	-40.802703	-14.888311	2.017	0.424
BAYB	40.191437	40.250151	2.756	0.487
BAYR	-83.891732	43.446230	-0.499	0.272
BBDM	-119.981513	34.582198	0.473	0.262
BBRY	-116.884241	34.264279	1.573	0.244
BCFJ	-120.749372	56.246210	2.888	0.538
BCFN	-122.584940	58.840251	4.710	0.473
BCLI	-123.147134	49.115117	-0.709	0.666
BCOV	-126.842642	50.544281	1.875	0.602
BCPG	-122.796233	53.908128	2.131	0.499
BCPH	-127.375352	50.685563	1.882	0.876
BCPR	-130.434598	54.276841	1.162	0.750
BCSL	-119.644242	49.565436	-0.042	0.402
BCWA	-122.064420	52.187424	3.139	0.362
BCWR	-119.405847	34.920461	1.569	0.311
BCYI	-113.405847	44.315616	0.483	0.214
BDLE	147.656027	-37.758606	-1.181	0.304
BDOS	-59.609097	13.087954	0.375	0.793
BDST	152.995081	-27.987094	-0.324	0.255
BEAT	-116.621128	37.039931	0.558	0.266
BEC1	-7.157954	42.855961	-0.234	0.266
BECA	-72.434604	46.347887	2.945	0.404
BEDA	-88.845758	43.443622	-2.284	0.335
BEE1	-3.606567	54.490951	1.243	0.494
BEEC	146.657741	-36.346439	-1.198	0.312
BEGA	13.000690	47.633727	0.278	0.396
BELE	-48.462550	-1.408795	-1.863	0.189
BELF	-5.931913	54.577178	0.245	0.334
BELL	1.401139	41.599618	-0.231	0.376
BELO	-73.203378	45.565736	2.522	0.411
BEMT	-115.998191	34.000534	0.709	0.236
BENB	-7.364135	57.473079	0.282	0.297
BEPK	-118.074092	35.878388	2.779	0.250
BER3	13.312171	52.489317	2.095	0.459
BERT	-85.140693	40.756654	-1.867	0.278
BEVE	9.769227	44.194069	1.581	0.640
BFNY	-78.890445	42.877557	-0.825	0.138
BFO1	8.324947	48.330499	0.430	0.215
BFSE	-86.894808	40.417603	-0.105	0.910
BGOH	-83.642634	41.380173	-0.601	0.293
BIEL	8.048055	45.560747	0.999	0.137
BIGD	-118.988833	47.933294	-0.667	0.319
BIGR	-85.487734	43.679149	-1.179	0.202
BILL	-117.064600	33.578243	0.770	0.254
BING	40.500784	38.885454	1.501	0.530
BIRZ	24.758254	56.200876	1.260	0.289
BISO	27.429087	-32.863701	1.606	0.331
BJNA	1.380749	10.253181	-0.093	0.343
BKAP	-116.080424	35.287048	1.380	0.244
BKFP	4.229242	12.468577	-0.203	0.663
BKNL	141.470101	-31.996293	2.122	0.463
BKVL	-82.453670	28.473803	-0.459	0.329
BLA1	-80.420507	37.211348	-0.526	0.136
BLAB	-94.718727	48.266359	-3.360	1.220
BLEA	-94.688444	48.270394	-3.161	1.797
BLER	1.824878	50.958622	-0.384	0.170
BLFT	6.858509	47.625923	1.768	0.193
BLGN	5.574098	46.171775	-1.302	0.474
BLIX	6.366694	43.873540	-0.070	0.280
BLMM	-89.972529	36.879783	-1.264	0.415
BLN1	-106.792136	34.660350	1.217	0.295
BLOM	-88.999859	40.495641	-0.894	0.342
BLRW	-90.530779	43.230253	-2.488	0.381
BLUF	168.292085	-46.585063	-0.335	0.383
BLYN	-122.927540	48.016058	-0.225	1.483
BLYT	-114.714851	33.610415	0.574	0.267
BMHL	-116.052977	34.251445	0.916	0.238
BN01	-70.152676	-20.219012	1.882	0.882
