station	lon     	lat     	v_vert	v_std
CT50	2.791323	49.140682	-0.397	0.383
CT54	2.613829	48.699350	-0.764	0.356
CT55	2.749317	48.969348	-0.923	0.477
CT56	3.238334	48.851216	-0.568	0.387
CT59	2.735566	49.272917	-0.575	0.456
CT60	1.247255	48.305364	-0.145	0.331
CT70	1.902390	48.333003	-0.968	0.397
CT71	2.224955	48.561685	-0.732	0.414
CT80	1.418343	48.060053	-0.574	0.401
CTAB	14.680224	49.409800	0.835	0.120
CTBR	-73.418246	41.497194	-0.089	0.289
CTDA	-73.507210	41.065862	-1.198	0.319
CTDM	-118.613210	34.516549	2.897	0.294
CTGR	-72.049717	41.335297	-1.025	0.294
CTGU	-72.667904	41.289382	-1.070	0.280
CTLR	-70.096829	-21.964163	3.994	0.796
CTMA	-72.210803	41.731375	-0.639	0.329
CTMC	-105.192884	39.721531	-0.617	0.384
CTMS	-116.370425	34.124101	2.376	0.266
CTNE	-72.714517	41.673542	-0.293	0.254
CTPT	-122.893959	42.376694	-1.544	0.519
CTWI	-73.069717	41.897761	-0.012	0.295
CTWN	18.468551	-33.951434	1.939	0.450
CUCC	15.815548	39.993803	0.306	0.163
CUIB	-56.069867	-15.555263	-0.595	0.615
CULC	-107.412597	24.795085	0.267	0.547
CUPR	-65.282516	18.307439	-1.855	0.626
CUVI	-71.141261	-33.381863	-3.592	6.091
D577	6.785596	51.203408	1.907	0.550
D578	6.608120	51.664827	1.428	0.564
D582	7.016084	51.458494	1.380	0.573
D585	7.486788	51.380366	1.785	0.547
D587	7.626867	51.955012	2.169	0.546
D588	8.074924	51.398872	0.871	0.539
D593	8.912100	52.281256	1.093	0.525
D596	8.523809	51.200193	0.948	0.475
D597	8.893723	51.611310	0.689	0.501
D598	8.534339	52.022186	1.777	0.534
D599	7.437123	52.277174	1.404	0.564
D600	8.326368	51.655812	2.093	0.513
D601	7.178335	51.743044	0.244	0.477
D602	8.881802	51.932781	2.088	0.516
D603	7.972835	51.173117	2.151	0.545
D616	7.810367	51.680320	1.084	0.501
D622	8.030211	50.902355	1.602	0.430
D624	7.056412	50.867600	0.428	0.488
DAEJ	127.374479	36.399429	0.104	0.421
DAGD	27.533084	56.097713	1.227	0.450
DAM3	-118.397470	34.333992	3.197	0.568
DAPK	-120.771509	35.254272	0.626	0.252
DARM	130.891493	-12.424009	-1.176	0.265
DART	-63.581836	44.699173	0.513	0.442
DARW	131.132739	-12.843706	-0.270	0.230
DAU1	26.518425	55.869154	0.091	0.414
DAUN	6.821211	50.199864	1.057	0.295
DAV2	-82.433804	8.425472	-1.064	1.676
DCAN	-120.845087	35.211520	1.791	0.276
DCUT	-111.527568	40.412764	1.155	0.284
DDSN	-123.244242	43.118791	-0.391	0.188
DECH	-119.090602	38.051489	1.351	0.145
DEDO	-75.538813	39.186753	-0.495	0.333
DEFI	-84.413575	41.277029	-1.871	0.694
DELF	4.387588	51.986120	-0.110	0.135
DEMI	-75.202869	38.610279	-1.172	0.225
DENE	-75.743012	39.676745	-1.973	0.758
DENI	0.103665	38.834781	-0.638	0.157
DENT	3.399669	50.933705	-0.725	0.271
DERE	-88.063922	44.461365	-0.133	0.363
DET5	-83.095298	42.297349	-1.432	0.195
DET6	-83.095535	42.297236	-1.425	0.204
DEVA	22.913538	45.878418	0.930	0.158
DEVE	8.260999	46.313560	1.843	0.243
DGAV	72.370241	-7.269684	-2.510	1.080
DGLG	2.344752	50.993654	-0.443	0.141
DHLG	-115.788028	33.389806	1.034	0.322
DIAB	-121.915628	37.878575	0.712	0.251
DIDI	27.268661	37.372130	-0.938	0.325
DIEP	8.342229	52.588055	0.077	0.303
DIES	5.049026	50.980717	-2.361	1.330
DILL	6.699671	49.371565	1.165	0.288
DIVR	38.103884	39.394319	0.558	0.506
DJON	5.045006	47.355443	-0.609	0.447
DJOU	1.661638	9.692061	-0.766	0.524
DKST	26.318854	55.520452	0.213	0.567
DLF1	4.387463	51.986020	-0.711	0.470
DLFT	4.387563	51.986012	-0.628	0.235
DLND	-81.263194	29.056366	-0.956	0.203
DLPA	82.817884	28.983678	2.734	0.890
DLTH	-92.107800	46.797487	-1.403	0.176
DLUZ	-117.307220	33.430587	0.058	0.491
DNGL	-8.087744	54.659245	0.368	0.449
DNRC	-75.523598	39.160087	-1.345	0.229
DNVK	176.166657	-40.298856	-2.426	1.153
DOB1	23.283430	56.636699	1.553	0.449
DOBS	-80.719925	36.425428	-0.125	0.138
DODM	35.748173	-6.186456	-1.002	0.441
DOJX	5.160523	48.362850	2.395	0.234
DOLE	-90.128171	42.978123	-3.002	0.579
DOR1	-74.663313	5.453845	-0.778	0.351
DORD	4.662487	51.811246	-0.312	0.175
DOT1	-119.763440	39.156199	3.020	0.405
DOUR	4.594950	50.094876	-0.051	0.149
DP1A	-88.142689	41.867381	-1.038	0.212
DP2A	-87.965347	41.900379	-1.268	0.215
DP6B	-87.979422	41.967333	-1.980	0.385
DQCY	-93.445304	30.451182	-1.742	0.542
DQUA	-94.289899	34.110657	-1.172	0.380
DRA1	22.933495	42.931774	-0.803	0.409
DRAG	35.392070	31.593200	3.997	0.394
DRBA	31.023449	-29.851177	1.337	0.358
DRCL	80.500930	29.733805	1.049	0.765
DRES	13.729691	51.029825	0.495	0.458
DROW	-2.197936	52.251817	-0.739	0.348
DRU1	-72.497024	45.887973	3.589	0.531
DRUM	-3.736063	55.627170	1.225	0.264
DSHS	-118.348541	34.023932	2.330	1.020
DSME	-117.249534	33.036477	0.265	0.377
DSMG	113.568774	22.158958	0.677	1.325
DSSC	-116.712089	33.733331	1.274	0.257
DUAU	-3.437703	48.362185	-0.039	0.401
DUDE	-2.877316	56.463930	0.755	0.616
DUN1	-2.911461	56.473161	3.204	0.508
DUND	170.597168	-45.883664	-0.934	0.408
DUNK	-3.239893	50.860458	-0.623	0.156
DUNT	170.629408	-45.814317	-1.088	0.417
DURV	173.921592	-40.801762	-1.089	0.486
DUTH	24.916800	41.140212	-0.006	0.259
DVLE	-117.000684	33.700584	2.075	0.543
DVLS	-117.053625	33.691136	1.357	0.503
DVLW	-117.067434	33.657694	1.509	0.330
DVPB	-117.860125	34.413412	1.645	0.381
DWNI	130.955937	-12.443302	-0.747	0.961
EAG1	-106.798149	35.154217	0.238	0.509
EASN	0.116442	53.648995	-0.510	0.332
EAST	0.306311	50.777428	-0.133	0.516
EBBE	32.444944	0.038192	-1.720	0.486
EBOL	14.987023	40.546560	3.805	0.455
EC01	-106.847717	39.651825	-0.098	0.415
ECFS	-117.411694	33.647684	0.743	0.267
ECHT	6.439647	49.798131	0.645	0.158
ECQU	2.447376	50.560746	-0.208	0.163
ECSD	-96.614007	43.733700	-1.696	0.152
EDE_	5.672603	52.045254	-0.264	0.241
EDEN	14.303488	37.523080	0.261	0.382
EDES	22.051249	40.804295	-2.059	0.816
EDIN	-3.294790	55.924785	1.230	0.270
EDON	-68.325644	47.363281	0.992	0.247
EDPP	-118.830408	34.946194	2.660	0.286
EFAY	-94.101730	36.100248	-0.752	0.334
EFBG	6.881868	50.525298	1.096	0.340
EHVN	5.465801	51.433589	-0.256	0.158
EIIV	15.082083	37.513602	0.741	0.163
ELAT	34.920598	29.509278	0.763	0.140
ELAZ	39.256466	38.644674	0.175	0.646
ELDN	27.828681	-33.038130	2.470	0.242
ELIZ	-127.122664	49.873053	0.854	0.548
ELK1	24.644567	54.776662	1.544	0.437
ELKO	-115.817198	40.914690	0.327	0.122
ELKT	-92.688741	43.658339	-1.850	0.294
ELVI	-85.445806	10.394697	-2.031	2.682
ELY1	-91.832432	47.902270	-0.185	0.204
EMBR	-92.200543	47.657928	-0.654	0.204
EMIR	31.144026	39.022191	1.053	0.307
EMLO	29.983850	-26.497807	2.325	0.120
ENG5	-89.941729	29.878963	-0.255	0.208
ENSH	148.520253	-23.478309	-0.176	1.184
EOST	7.762494	48.579843	0.105	0.169
EPHR	-119.544679	47.329336	-0.708	0.445
EPP1	-107.567515	40.512912	-0.322	0.246
EPRT	-66.992131	44.908710	0.119	0.540
ERAS	27.696089	-23.686667	1.811	0.134
ERCK	7.364211	48.873028	0.162	0.244
ERFU	11.028243	51.005226	3.229	0.186
ERGM	-5.776493	43.242355	-0.189	0.094
ERGN	39.758193	38.269605	1.859	0.536
ERIE	-78.959658	42.904372	-0.825	0.414
ERLA	11.004574	49.586493	1.241	0.298
ERP1	6.323178	49.547789	1.728	0.168
ERZR	41.255467	39.905609	2.794	0.497
ESBC	8.456826	55.493566	0.503	0.129
ESBH	8.439772	55.460272	0.791	0.159
ESC2	-4.126942	40.578340	-1.129	0.419
ESCO	0.975666	42.693576	-0.155	0.151
ESKD	-3.206931	55.312399	1.972	0.420
ESMA	-3.206988	55.316315	0.529	0.413
ESMR	-79.724373	0.934648	0.429	0.798
ESPA	121.894325	-33.874319	-0.426	0.169
ESQU	-71.323401	-42.917113	-0.177	0.941
ESRW	-117.066952	33.681780	1.552	0.601
EUR2	-85.937596	79.988946	7.994	0.189
EWPP	-117.525584	34.104198	1.132	0.266
EXMO	-3.410050	50.613447	-0.467	0.414
EXU0	-75.873402	23.564049	-0.858	0.231
FAA1	-149.614300	-17.555314	-2.377	0.367
FAEZ	11.861284	44.302767	3.081	0.643
FAHR	11.314963	47.606792	0.512	0.175
FAJA	-7.921663	40.149097	-0.590	0.197
FAUG	-4.688473	57.135699	2.205	0.520
FCCI	-85.875528	39.208377	-1.138	0.346
FDOS	11.723798	46.303948	1.416	0.305
FERA	11.627038	44.813582	0.072	0.630
FERM	-88.254568	41.841513	-0.003	0.353
FFOD	14.541233	52.356176	0.274	0.204
FG07	6.732569	0.337669	0.358	0.393
FG08	14.503545	-22.950353	3.404	0.366
FGST	-120.009381	34.733009	2.150	0.301
FHOG	-116.935869	34.093546	0.923	0.929
FIGL	11.473521	43.618668	1.762	0.780
FINI	30.146410	36.302218	-1.072	0.872
FIR1	11.377989	44.118314	1.190	0.658
FLAG	-111.648920	35.202108	0.007	0.254
FLB2	9.434438	54.770060	0.921	1.333
FLC5	-80.466961	25.431627	-1.103	0.340
FLC6	-80.466998	25.431389	-1.101	0.348
FLDW	8.307627	53.718627	0.194	0.263
FLIN	-101.978034	54.725584	4.300	0.460
FLIU	-80.373568	25.754603	-0.933	0.638
FLN1	-118.763748	39.466623	0.524	0.181
FLRS	-31.126388	39.453835	-0.778	0.407
FMVT	-118.884031	34.356336	0.787	0.256
FOGG	15.532134	41.452206	1.047	0.377
FOL1	12.698829	42.954923	1.410	0.594
FOLA	-88.452718	43.794935	-2.024	0.336
FOOT	-113.805373	39.369397	0.166	0.118
FORE	-111.380328	40.511897	0.362	0.184
FORF	2.847896	49.057854	-0.408	0.164
FOSS	12.806636	43.689045	1.480	0.603
FOYL	-7.336648	54.983756	1.393	0.283
FQNE	-73.734809	5.467343	-0.460	0.763
FRDN	-66.659880	45.933507	0.520	0.465
FRE2	-66.659881	45.933507	0.895	0.724
FREO	-81.257844	40.201666	-0.255	0.388
FRMO	13.731358	43.168357	1.427	0.594
FRMT	-94.443531	43.664675	-0.228	0.353
FRNG	8.118276	56.523022	1.686	0.457
FRNS	-25.308208	37.769336	-0.954	0.549
FROS	13.350514	41.639061	0.454	0.381
FRTG	-82.488166	43.037569	-1.412	0.220
FRTN	177.409874	-38.939297	-2.560	1.208
FSHB	-115.799939	32.944988	3.498	0.523
FUNC	-16.907616	32.647948	-0.414	0.259
FUSE	13.001146	46.414153	0.598	0.166
FUTY	12.497798	9.349743	-0.671	0.573
FXHS	-118.359474	34.080604	1.544	0.484
FZHS	-118.893377	34.800193	2.582	0.392
G000	135.928303	33.877002	3.228	1.402
G002	135.340700	35.333460	0.921	1.215
G004	135.219944	34.326462	0.014	1.080
G007	136.041895	34.710645	0.749	1.044
G008	136.173149	34.493872	3.858	1.300
G009	136.002645	34.292927	2.463	2.075
G011	135.554007	33.940795	3.004	1.178
G012	135.882088	33.668758	1.425	1.269
G013	135.533845	33.658345	3.480	1.348
G032	133.341290	34.612201	3.164	0.981
G036	132.531630	34.069231	0.936	0.782
G038	132.052733	34.090061	1.663	0.824
G045	133.899386	34.325918	0.160	1.303
G046	133.350698	33.974170	2.491	0.841
G047	133.047400	33.884089	1.947	1.160
G049	132.743687	33.305056	1.612	0.908
G050	132.633641	33.096087	2.018	1.185
G052	133.154490	33.607022	0.146	0.887
G058	132.831463	32.961068	0.426	1.213
G062	130.296905	33.683070	3.186	0.739
G070	130.872657	32.995935	0.162	0.970
G079	131.748411	33.096197	2.032	0.834
G085	131.347490	32.111890	1.181	0.981
G089	130.735676	31.743781	2.747	0.563
G090	130.998306	31.564605	0.051	0.807
G094	127.993676	26.386345	2.309	1.578
G095	127.760365	26.312714	1.979	1.339
G096	127.677633	26.194577	0.460	1.129
G098	153.978658	24.290095	-0.717	0.346
G099	137.550843	36.114304	0.168	1.275
G100	138.727303	35.360770	1.139	1.480
G101	140.858308	43.209527	2.663	1.116
G103	140.859207	40.897496	3.186	1.732
G106	140.962406	37.830788	0.029	2.844
G108	139.615533	35.160153	3.782	1.981
G110	138.508515	37.356545	2.748	1.380
G117	135.191537	34.144146	3.768	0.702
G120	133.243502	33.333499	2.785	0.613
G121	129.849292	33.473080	0.118	0.378
G127	137.814478	35.777534	3.123	1.199
G128	136.728752	35.405134	0.360	1.091
G130	135.589934	33.747605	0.555	1.496
G132	133.043231	33.545834	0.286	1.027
G134	132.922648	33.391030	2.171	0.822
G135	133.699573	35.490400	0.506	0.677
G137	131.384028	33.078836	2.744	1.092
G142	132.675824	32.927690	0.537	1.484
G144	138.794657	34.970567	0.362	2.282
G147	131.835003	34.043788	3.241	0.847
G149	136.693187	34.296610	2.859	1.333
G154	135.305308	33.769405	3.515	1.124
G155	135.970596	33.660805	2.059	0.746
G160	137.723377	34.672312	2.768	1.502
G163	139.276188	36.602338	3.490	2.761
G165	132.596993	33.309130	3.750	0.892
G166	133.218865	33.154739	3.217	0.845
G168	129.776972	32.581730	3.715	0.543
G172	133.106151	33.081764	1.796	2.204
G173	141.142177	41.833997	1.332	2.662
G201	141.685331	45.407820	2.251	0.537
G212	127.665206	26.213328	1.037	0.763
GABB	-117.916391	38.970333	0.232	0.288
GABN	-83.777367	34.135308	-1.456	0.510
GABO	149.915200	-37.568126	-0.666	0.306
GABR	-84.327119	34.864429	-0.359	0.274
GABY	-84.935191	31.377589	-0.286	0.275
GACC	-82.133811	33.545758	-0.482	0.297
GACL	-85.155725	33.632712	-2.323	1.167
GACR	-83.346229	32.380961	-0.580	0.346
GACU	-84.125068	34.211631	-1.609	0.621
GAGR	-84.277940	33.227803	-0.778	0.457
GAIA	-8.589091	41.106022	-0.654	0.281
GAIT	-77.220982	39.133992	-0.931	0.429
GALF	14.566519	37.710698	0.061	0.155
GALP	-82.277808	38.844216	-0.871	0.404
GAMC	-83.648609	32.701819	-0.196	0.221
GANP	20.322936	49.034714	1.137	0.436
GANW	-84.767362	33.305785	-0.778	0.412
GAR1	1.914040	41.292941	-0.318	0.186
GARL	-119.355457	40.416527	1.193	0.235
GASB	-122.715931	39.654707	3.998	1.549
GAST	-81.188767	35.311060	-0.790	0.160
GATE	14.909926	41.513138	0.616	0.263
GATF	-83.509125	31.451913	-0.933	0.562
GAVO	10.888944	42.936581	1.070	0.661
GAZZ	9.828663	45.794323	1.413	1.211
GBIG	-112.064391	43.985951	0.136	0.261
GCGT	-81.379447	19.292948	-1.372	0.650
GDEC	-119.863678	35.189414	1.704	0.324
GDIJ	5.044745	47.332728	-0.738	0.392
GDMA	-90.341251	47.748552	-0.098	0.294
GELD	5.555135	51.412147	-0.002	0.176
GENV	8.880868	44.415211	1.938	0.469
GESR	11.922927	54.574430	0.346	0.114
GIBR	-5.364988	36.148177	-0.253	0.414
GIE1	2.781549	47.613009	-0.237	0.398
GILB	35.416476	32.479336	0.652	0.190
GIOI	15.894761	38.421721	1.679	0.592
GIRA	-4.857593	55.243437	1.497	0.399
GISB	177.886035	-38.635336	-1.538	0.811
GLAD	151.254426	-23.841273	-1.521	1.555
GLAS	-4.296484	55.854004	0.760	0.266
GLDB	172.529563	-40.826595	-1.603	0.494
GLPS	-90.303672	-0.742999	0.729	0.382
GLRA	4.524076	44.839257	-0.844	0.646
GLRS	-115.521371	33.274813	0.771	0.405
GLSV	30.496733	50.364183	1.389	0.283
GMPK	-114.827345	33.051085	0.407	0.270
GMRC	-115.660229	34.783998	0.587	0.238
GMSD	131.015561	30.556447	0.747	0.969
GNAL	13.519849	42.583695	0.621	0.379
GNBK	175.238131	-40.080340	-3.453	1.132
GNPS	-114.189450	34.308556	1.734	0.261
GNVL	-82.276875	29.686549	-0.668	0.202
GODE	-76.826830	39.021728	-0.934	0.250
GODZ	-76.826830	39.021728	-0.190	0.373
GOGA	-83.473223	33.414748	-0.816	0.242
GOJA	-51.726109	-17.883278	-0.422	0.337
GOLD	-116.889251	35.425156	0.920	0.258
GOLG	-65.760778	-24.690587	0.992	0.694
GOLY	-120.802457	45.828698	-1.012	0.569
GOPE	14.785623	49.913705	1.118	0.233
GOR2	11.349603	53.049707	1.080	0.499
GORS	1.731944	52.575560	-0.484	0.314
GOSH	-114.179697	40.640169	0.349	0.222
GOUT	-111.896513	39.913738	1.057	0.180
GR8R	-120.415731	36.399015	1.811	0.189
GRA2	-3.595320	37.190230	-0.457	0.542
GRA7	-72.762768	45.416909	2.949	0.517
GRA8	13.870519	42.975534	0.947	0.481
GRAR	-85.674342	42.988805	-1.721	0.160
GRAZ	15.493480	47.067130	0.195	0.292
GRCH	-2.843257	47.758077	-0.532	0.148
GRDV	-119.692183	38.912483	1.409	0.250
GREY	30.577640	-29.071135	1.773	0.274
GRHI	82.491197	27.950813	2.421	0.823
GRHM	26.507170	-33.320062	1.203	0.176
GRIB	-8.641730	39.040453	-0.449	0.219
GRMD	-123.022598	46.795486	-1.791	0.526
GRNG	175.459263	-39.976253	-2.112	1.143
GRNT	24.534506	-32.248048	1.572	0.152
GRO1	15.100930	41.067037	0.705	0.197
GROA	11.109292	42.781755	1.131	0.825
GROT	15.059871	41.072842	1.072	0.215
GROV	-8.864543	42.497965	-0.711	0.323
GRRG	-111.421633	42.937777	0.649	0.247
GRYG	-95.616004	48.297643	-0.531	0.231
GSR1	14.543716	46.048134	0.721	0.127
GUAM	144.868361	13.589329	-1.889	1.467
GUAO	87.177307	43.471108	0.496	0.215
GUAR	-7.266413	40.536489	-0.132	0.275
GUB2	12.577523	43.351013	1.307	0.760
GUIJ	-5.677754	40.546712	-0.460	0.164
GUIP	-4.411820	48.444603	-1.125	0.445
GUM2	7.568014	51.029091	1.229	0.169
GUMU	39.516174	40.437074	1.787	0.269
GUST	-80.716185	41.462751	-1.099	0.438
GUUG	144.802713	13.433208	-3.192	0.920
GVMS	-90.903627	30.314393	-1.621	0.342
GWN5	-121.327563	45.782633	-0.521	0.394
GWN6	-121.327254	45.782628	-0.593	0.366
HAKK	43.739129	37.574317	2.367	0.549
HALP	34.183376	37.445081	0.007	0.279
HALY	36.099917	29.138867	0.789	0.171
HAM1	7.718354	51.624672	3.830	0.537
HAMB	9.983836	53.551301	0.215	0.297
HAMM	-90.467625	30.513075	-1.040	0.270
HAMP	-72.639560	42.317752	0.867	0.166
HAMT	175.109198	-37.806753	-0.221	0.770
HAN1	9.730497	52.373051	0.983	0.238
HANA	177.569366	-38.686821	-1.909	0.946
HANO	-81.016628	44.143860	-1.311	0.545
HARD	-0.528675	50.949705	-0.673	0.380
HAS6	13.718017	56.092176	3.519	1.048
HASZ	-85.265228	42.609457	-1.372	0.278
HATA	36.152750	36.208276	1.378	0.475
HATC	-94.514370	48.175650	-0.747	0.267
HATI	-85.710062	10.292198	-0.633	1.203
HAWK	-74.612994	45.609827	3.543	0.451
HAWL	-96.300175	46.878130	-1.573	0.171
HBCH	-82.643079	43.846254	-1.103	0.148
HCES	-89.171767	36.332605	-0.615	0.469
HCMN	-116.430075	34.754774	0.922	0.244
HCRO	-121.469899	40.815917	1.500	0.456
HDF5	-73.539121	43.270827	0.623	0.170
HDF6	-73.539092	43.271071	1.040	0.163
HEAU	-1.777961	49.580661	-0.277	0.134
HEER	4.824587	52.664687	0.112	0.198
HEES	5.512671	51.728559	-0.333	0.248
HEID	28.372899	-26.508496	1.811	0.398
HELG	7.893091	54.174481	0.909	0.319
HEN1	-95.457378	46.325444	-2.426	0.421
HENA	-3.384022	40.488550	-0.067	0.242
HER2	-110.967215	29.092547	1.076	0.310
HERO	0.335660	50.867485	-0.203	0.219
HERZ	13.238934	51.694759	0.283	0.184
HFL2	11.386093	47.312905	0.820	0.507
HGRA	10.072597	47.492583	0.623	0.179
HIKB	178.303353	-37.561040	-0.432	0.765
HILB	-79.102533	36.052835	-1.028	0.207
HINI	41.695788	39.368788	0.577	0.538
HIRS	9.967547	57.591101	2.371	0.125
HIVI	-117.799454	34.759920	0.828	0.428
HKFN	114.138171	22.494685	0.045	0.340
HKKT	114.066568	22.444905	0.208	0.429
HKLT	113.996627	22.418133	0.361	0.390
HKMW	114.003180	22.255812	0.397	0.369
HKNP	113.893878	22.249065	0.304	0.306
HKOH	114.228555	22.247686	0.847	0.314
HKPC	114.037844	22.284948	0.840	0.369
HKSC	114.141191	22.322171	0.021	0.336
HKSL	113.927985	22.372004	0.482	0.284
HKSS	114.269297	22.431067	0.700	0.429
HKST	114.184245	22.395270	0.423	0.356
HKWS	114.335380	22.434281	0.137	0.321
HLOU	165.627324	-21.277048	-1.060	2.179
HLSY	-123.109118	44.377565	-0.112	0.317
HNCK	-85.779701	39.781687	-2.165	0.453
HNPS	-115.635335	33.705006	0.169	0.255
HOB2	147.438735	-42.804712	-0.496	0.215
HOBU	10.476303	53.050632	0.360	0.368
HOE2	8.293388	54.758752	0.158	0.561
HOEG	4.900445	50.778574	-0.392	0.441
HOGS	-120.479496	35.866715	3.065	0.275
HOH1	11.009667	47.801351	0.321	0.142
HOKI	170.984315	-42.712906	-0.984	0.483
HOL2	10.156797	54.372923	0.763	0.195
HOL3	-117.845127	34.458155	0.983	0.305
HOLB	-128.134997	50.640354	0.946	1.049
HOLD	175.515188	-40.897246	-0.470	2.697
HOLL	-86.373310	39.615074	-1.458	0.441
HOLY	-4.642065	53.317733	0.066	0.305
HONS	25.964934	70.977064	3.586	0.846
HORT	-4.201161	51.548393	-0.699	0.416
HOU2	5.170914	52.032762	-0.122	0.178
HPIG	-113.100129	43.713279	0.017	0.138
HRAO	27.686979	-25.890106	0.790	0.442
HRIA	-13.485110	29.145225	-0.897	0.323
HRIE	12.249271	47.747465	0.695	0.366
HRM1	-1.283889	51.453744	-0.718	0.290
HRM2	-1.283890	51.453744	-0.364	0.389
HRN6	-78.181276	40.877847	-1.052	0.172
HRST	-83.511045	49.667445	8.770	0.150
HRUF	-83.340372	42.284825	-1.224	0.159
HTV5	-86.089506	36.357710	-1.413	0.324
HTV6	-86.089753	36.357609	-0.576	0.292
HUA2	-85.351694	10.017732	-2.638	0.845
HUEG	7.596167	47.833948	0.054	0.306
HUEL	-6.920297	37.199981	-0.577	0.156
HUET	6.192704	51.842993	0.163	0.337
HULV	-6.913541	37.280288	-0.404	0.113
HUN1	-85.474136	40.879936	-1.018	0.290
HUNT	-120.402382	35.880811	3.566	0.270
HUTB	92.532407	10.609508	3.853	1.353
HVWY	-110.535962	44.613601	1.769	0.484
HVYS	-119.187541	34.441231	0.125	0.271
HW62	-114.844703	34.064958	0.504	0.186
HWFG	-113.096671	43.927452	0.820	0.237
HYDN	118.891878	-32.449381	-0.672	0.220
I001	139.542301	36.295162	0.972	2.850
I006	140.343150	36.096936	3.430	3.408
I007	139.636724	36.087227	1.171	3.098
I008	139.799932	36.010896	1.779	3.160
I011	139.464286	35.925504	3.578	2.955
I013	139.651860	35.937470	3.708	3.679
I020	140.315147	35.717452	0.368	2.974
I024	140.448301	35.642353	3.582	3.127
I026	139.673353	35.563403	2.524	1.881
I031	139.045179	35.415351	3.152	1.860
I032	139.653748	35.436484	2.187	1.760
I034	139.466069	35.326681	2.550	1.858
I035	139.262695	35.304899	2.384	1.998
I036	139.825520	35.311702	2.895	1.788
I037	140.146791	35.333140	3.343	1.953
I043	138.901859	35.110016	3.490	1.742
I044	140.079268	35.111861	2.324	1.989
I045	139.954342	35.254808	1.403	1.802
I047	139.864079	34.954084	3.679	1.905
I049	138.924823	34.916115	1.997	1.798
I051	139.381394	34.784418	3.712	2.167
I052	138.017527	34.785949	3.774	1.309
I055	139.433217	34.686785	3.229	1.741
I062	139.124364	34.878474	0.439	2.613
I064	138.975854	35.623349	2.689	2.331
I065	139.157225	35.610274	0.823	1.965
I066	139.204867	35.428518	2.563	1.962
I067	139.664837	35.267094	1.421	1.926
I068	139.049338	35.245516	3.827	2.254
I069	138.445247	35.443580	3.824	1.984
I070	138.814036	35.496589	2.574	2.182
I071	138.563434	35.362078	2.592	2.087
I073	138.445699	35.289461	1.914	1.632
I076	138.721542	35.173590	2.334	1.876
I077	138.524709	35.067407	0.358	1.449
I079	138.134901	35.103912	2.971	1.635
I086	138.838417	34.610000	0.472	1.231
I088	138.074862	34.939797	2.012	1.901
I089	137.932147	34.843857	3.727	1.626
I091	138.136915	34.757757	1.046	1.389
I093	138.053542	34.715252	1.219	1.395
I095	137.937438	34.670420	0.933	1.614
I098	137.823422	34.671882	1.569	1.513
I099	137.575492	34.937675	3.317	1.663
I105	139.171034	35.040628	1.573	2.070
I113	139.797245	33.119950	2.222	1.253
I40A	-115.911449	34.727325	1.409	0.234
IAAA	-92.812684	41.013636	-0.274	0.330
IAAG	-94.266997	43.079759	-0.729	0.292
IAAK	-96.563492	42.822740	-0.980	0.279
IAAL	-92.787289	42.747057	-2.134	0.328
IAAM	-93.559741	42.009598	-0.485	0.293
IAAN	-91.256729	42.103610	-1.049	0.350
IAAS	-95.779060	43.305610	-0.301	0.287
IAAT	-94.988012	41.405430	-0.494	0.292
IAAV	-95.337379	41.486708	-0.507	0.286
IABL	-92.430853	40.740768	-0.373	0.328
IACA	-94.911233	42.077788	-0.679	0.264
IACE	-92.870183	40.702027	-0.052	0.292
IACH	-93.307063	40.982653	-0.514	0.298
IACI	-91.609242	41.710572	-0.894	0.304
IACK	-95.542195	42.768363	-0.574	0.294
IACL	-93.751359	42.731006	-0.739	0.287
IACO	-94.737332	41.014370	-0.889	0.287
IACV	-95.773536	42.481332	-0.614	0.297
IADA	-90.630439	41.610058	-1.085	0.301
IADE	-91.831533	43.271065	-1.043	0.331
IADM	-93.597964	41.657179	-1.176	0.305
IADN	-95.375713	41.997386	-0.187	0.319
IADO	-91.565951	40.646947	-0.419	0.325
IADS	-94.007921	41.551755	-0.613	0.287
IADU	-90.673891	42.455929	-1.035	0.304
IAEL	-91.361534	42.877911	-0.637	0.317
IAEM	-94.694551	43.106895	-1.319	0.341
IAFA	-91.959254	40.981546	-1.000	0.378
IAFD	-94.186544	42.455445	-1.056	0.281
IAGA	-93.599818	43.107043	-0.248	0.382
IAGC	-92.779367	42.369288	-0.848	0.295
IAIN	-91.883598	42.444182	-0.883	0.288
IAJE	-94.382077	42.021136	-0.386	0.288
IAKN	-93.100955	41.299532	-0.651	0.330
IALM	-96.148721	42.798064	-0.412	0.266
IAMA	-94.251785	40.708462	-0.168	0.284
IAML	-92.550356	41.687136	-0.410	0.294
IAMQ	-90.645052	42.073675	-0.504	0.355
IAMR	-91.473003	42.484546	-0.947	0.305
IAMT	-92.933139	42.005792	-0.639	0.331
IAMV	-95.858360	41.571030	-0.193	0.267
IANT	-93.081964	41.684494	-0.823	0.357
IANW	-91.968709	41.961651	-0.632	0.317
IAOK	-92.684674	41.293165	-0.616	0.309
IAOS	-93.785687	41.027861	-0.020	0.313
IAPS	-94.679256	42.738040	-0.598	0.325
IARR	-96.148753	43.433503	-0.531	0.376
